Key,Unit,Cost,Attack,Defense
0,Infantry,3,2,4
1,Mechanized Infantry,4,2,4
2,Artillery,4,4,4
3,Tank,6,6,6
4,AAA,6,0,0
5,Fighter,10,6,8
6,Tactical Bomber,11,6,6
7,Strategic Bomber,12,8,2
8,Submarine,6,4,2
9,Destroyer,8,4,4
10,Cruiser,12,6,6
11,Battleship,20,8,8
12,Carrier,16,0,4
13,Transport,7,0,0
14,Infantry^Artillery,7,4^4,4^4
15,Mechanized Infantry^Artillery,8,4^4,4^4
16,Tank^Tactical Bomber,17,6^8,6^6
17,Fighter^Tactical Bomber,21,6^8,8^6
18,Damaged Battleship,20,8,8
19,Damaged Carrier,16,0,8
20,Conscript,2,0,0
21,ConscriptPair,4,0,0
22,Infantry^Infantry^Artillery,10,4^4^4,4^4^4
23,Infantry^Mech Infantry^Artillery,11,4^4^4,4^4^4
24,Mech Infantry^Mech Infantry^Artillery,12,4^4^4,4^4^4
25,Mech Infantry^Tank,10,4^6,4^6
